id,question,choice1,choice2,choice3,correctAnswerIndex
1,"What is the first city Arthas visits in the campaign?","Hearthglen","Strahnbrad","Solliden",1,WARCRAFT
2,"What is the name of Kael'thas's weapon?","Quel'delar","Felomin ashal","Felo'melorn",2,WARCRAFT
3,"Which Dreadlord took control of Garithos's forces?","Balnazzar","Varimathras","Detheroc",2,WARCRAFT
4,"Which of these is not part of the Seven Human Kingdoms?","Valgarde","Alterac","Dalaran",0,WARCRAFT
5,"What is the name of Maiev's brother?","Orenthil","Melithar","Jarod",2,WARCRAFT
6,"Which is the first World Tree?","Shaladrassil","Vordrassil","Nordrassil",0,WARCRAFT
7,"WoW's which expansion is Warlords of Draenor?","Sixth","Fifth","Fourth",1,WARCRAFT
8,"Which of these was the second biggest Night Elven city?","Eldre'thalas","Dolanaar","Suramar",2,WARCRAFT
9,"The High Elves descend from which Elf culture?","Nightborne","Highborne","Ren'Dorei",1,WARCRAFT
10,"Which Dreadlord first began to suspect Ner'zhul's motives?","Mephistroth","Tichondrius","Anetheron",1,WARCRAFT
11,"Which Troll helped Thrall when he was stranded near the Maelstrom?","Sen'jin","Zul'jin","Vol'jin",0,WARCRAFT
12,"Which is not a moon of Azeroth?","The Pale Lady","The Blue Child","The White Lady",0,WARCRAFT
13,"Which Dreadlord lured Arthas to go to Northrend?","Balnazzar","Mal'Ganis","Detheroc",1,WARCRAFT
14,"Which Old God's whispers drove Neltharion insane?","C'thun","N'zoth","G'huun",1,WARCRAFT
15,"Who was the first Lich King?","Arthas","Bolvar","Ner'zhul",2,WARCRAFT
16,"Which Pandaren founded the Horde-friendly Pandaren faction?","Ji Firepaw","Zhu Longbrow","Chen Stormstout",0,WARCRAFT
17,"Who is the Aspect of Time?","Nozdormu","Ysera","Malygos",0,WARCRAFT
18,"Which Dragonflight is associated with the domain of nature?","Red","Green","Bronze",1,WARCRAFT
19,"Who was the first Guardian of Tirisfal?","Aegwynn","Medivh","Alodi",2,WARCRAFT
20,"Which of the Old Gods was imprisoned beneath Ulduar?","Y'shaarj","N'Zoth","Yogg-Saron",2,WARCRAFT
21,"Whose body did Xal'Atath possess?","Inanis","Jalinde","Saldor",0,WARCRAFT
22,"In which year were the Highborne exiled from Kalimdor?","7800","7300","9400",1,WARCRAFT
23,"Who represents the High Elves in Quel'Thalas?","Auric","Vereesa","Ari",0,WARCRAFT
24,"Which title is most commonly used to refer to Deathwing?","The Worldbreaker","Aspect of Death","The Destroyer",2,WARCRAFT
25,"What was the name of the Old Gods' dominion over Azeroth?","Ahn'Qiraj","The Black Empire","Blackrock",1,WARCRAFT
26,"Which Dwarven clan was victorious in the War of the Three Hammers?","Bronzebeard","Wildhammer","Dark Iron",0,WARCRAFT
27,"How many Sha were buried in Pandaria?","Six","Seven","Eight",1,WARCRAFT
28,"Who first betrayed the Orcs of Draenor in favour of the Legion?","Kilrogg","Gul'dan","Ner'zhul",1,WARCRAFT
29,"During her pursuit of Illidan, who was Maiev's second in command?","Shandris","Raene","Naisha",2,WARCRAFT
30,"Which Sha was the most powerful?","Pride","Anger","Violence",0,WARCRAFT
31,"What are the High Elves and Blood Elves who succumbed to magical withdrawal called?","Wretched","Withered","Darkfallen",0,WARCRAFT
32,"Where did the second destruction of Dalaran take place?","Hillsbrad Foothills","Crystalsong Forest","Khaz Algar",2,WARCRAFT
33,"Whose teachings were used to found the Cult of Forgotten Shadows?","Aelthalyste","Natalie Seline","Meryl Felstorm",1,WARCRAFT
34,"Which Eredar was not a member of the Triumvirate of Argus?","Velen","Kil'jaeden","Thal'kiel",2,WARCRAFT
35,"What was Outland formerly called?","Xandros","Draenor","Mardum",1,WARCRAFT
36,"Which planet was destroyed by Dimensius the All-Devouring?","K'aresh","Karkora","Niskara",0,WARCRAFT
37,"Where did the Highborne land after their exile from Kalimdor?","Tirisfal Glades","Silverpine Forest","Eversong Woods",0,WARCRAFT
